kood,korpus,tekstikeel,tekstityyp,elukoht,taust,vanus,sugu,emakeel,kodukeel,keeletase,haridus,abivahendid
doc_104580264081_item,cFOoRQekA,eesti,muu,soome,teenist,kuni26,naine,soome,soome,B1,kesk,jah
doc_104580264082_item,cFOoRQekA,eesti,muu,soome,teenist,kuni26,naine,soome,soome,C1,kesk,jah
doc_104580264083_item,cFOoRQekA,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_109979842709_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,B,kesk,ei
doc_112308112640_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,jah
doc_112308112641_item,cFOoRQekA,eesti,isikiri,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,jah
doc_112308112642_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,jah
doc_112308112643_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,ei
doc_112308112644_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,ei
doc_112308112645_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,ei
doc_112308112646_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,naine,inglise,inglise,A,korg,ei
doc_112308112647_item,cFOoRQekA,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_112308112648_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,mees,inglise,inglise,A,kesk,jah
doc_112308112649_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,mees,inglise,inglise,A,kesk,jah
doc_112308112650_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,mees,inglise,inglise,A,kesk,jah
doc_112308112651_item,cFOoRQekA,eesti,essee,inglismaa,ylop,kuni26,mees,inglise,inglise,A,kesk,jah
doc_112308112652_item,cFOoRQekA,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_120968879137_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,B1,kesk,ei
doc_120968879138_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,B1,kesk,ei
doc_120968879139_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879140_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879141_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_120968879142_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_120968879143_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879144_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879145_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879146_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879147_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879148_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879149_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879150_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879151_item,cFOoRQekA,eesti,essee,idaviru,ylop,kuni26,mees,vene,vene,B1,kesk,ei
doc_120968879152_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_120968879153_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879154_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879155_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,mees,vene,vene,A,kesk,ei
doc_120968879156_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_122714475542_item,cFOoRQekA,eesti,essee,tallinn,teenist,41plus,naine,vene,vene,A,korg,ei
doc_122714475543_item,cFOoRQekA,eesti,essee,tallinn,teenist,41plus,naine,vene,vene,A,korg,ei
doc_122714475544_item,cFOoRQekA,eesti,essee,tallinn,teenist,41plus,naine,vene,vene,A,korg,ei
doc_122714475545_item,cFOoRQekA,eesti,essee,tallinn,teenist,kuni26,naine,vene,vene,A,korg,ei
doc_122714475546_item,cFOoRQekA,eesti,essee,tallinn,teenist,41plus,mees,vene,vene,A,korg,ei
doc_124643816973_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_124643816974_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
